Heading,Date,Link
The Federal Reserve may have pretty much just hit its 2% inflation target,No date found,https://www.cnbc.com/2024/10/11/the-federal-reserve-may-have-pretty-much-just-hit-its-2percent-inflation-target.html
"Dow jumps 400 points to a record on Friday, S&P 500 closes above 5,800 for the first time: Live...",No date found,https://www.cnbc.com/2024/10/10/stock-market-today-live-updates.html
OCBC: Expect more fiscal stimulus from the Chinese government to keep up momentum,No date found,https://www.cnbc.com/video/2024/10/09/ocbc-continue-to-expect-fiscal-stimulus-from-the-chinese-government.html
‘She doesn't stop talking’: How extroverts unknowingly irritate fellow travelers,No date found,https://www.cnbc.com/2024/10/09/she-wont-stop-talking-how-extroverts-irritate-fellow-travelers-.html
"Russia is on a mission to create mayhem on Europe's streets, UK spy chief says",No date found,https://www.cnbc.com/2024/10/08/russia-on-a-mission-to-create-mayhem-on-european-streets-mi5-says.html
'Golden Week’ bookings show Chinese travel preferences are evolving,No date found,https://www.cnbc.com/2024/09/30/golden-week-bookings-show-changes-in-how-chinese-are-traveling-.html
Britain's Rightmove rejects $8.1 bln sweetened bid from Australia's REA Group,No date found,https://www.cnbc.com/2024/09/25/rightmove-rejects-8point1-bln-sweetened-bid-from-australias-rea-group.html
Fed rate cuts would 'undoubtedly' be positive for Southeast Asian markets: Warburg Pincus,No date found,https://www.cnbc.com/video/2024/10/07/warburg-pincus-discusses-fed-interest-rates-outlook-for-asia-markets.html
Watch CNBC's full interview with Malaysian Prime Minister Anwar Ibrahim,No date found,https://www.cnbc.com/video/2024/10/03/watch-cnbcs-full-interview-with-malaysian-prime-minister-anwar-ibrahim.html
"Johor-Singapore Special Economic Zone: 'Things are moving,' says Anwar",No date found,https://www.cnbc.com/video/2024/09/30/johor-singapore-special-economic-zone-things-are-moving-says-anwar.html
'Full force': Malaysia PM says crusade against corruption is not over,No date found,https://www.cnbc.com/2024/09/30/anwar-ibrahim-malaysia-pm-vows-crusade-against-corruption.html
"Fearful of the 'middle-income trap,' Indonesia pushes for major policy reform",No date found,https://www.cnbc.com/2024/09/26/indonesia-looks-to-avoid-the-middle-income-trap.html
He flies business and first class multiple times a year — all on credit card points,No date found,https://www.cnbc.com/2024/10/10/he-flies-business-and-first-class-all-on-credit-card-points.html
‘She doesn't stop talking’: How extroverts unknowingly irritate fellow travelers,No date found,https://www.cnbc.com/2024/10/09/she-wont-stop-talking-how-extroverts-irritate-fellow-travelers-.html
"Chinese travelers trickle back to a Taiwanese island, mere miles from the mainland",No date found,https://www.cnbc.com/2024/10/08/chinese-travelers-return-to-kinmen-a-taiwan-island-off-mainland-china.html
From guns to politics: See which factors deter travelers from visiting the U.S.,No date found,https://www.cnbc.com/2024/10/06/is-it-safe-to-visit-the-us-how-guns-and-trump-affect-travel-interest.html
"Starlink to end the days of spotty Wi-Fi on planes, says Air New Zealand CEO",No date found,https://www.cnbc.com/2024/10/04/starlink-to-end-the-days-of-spotty-wi-fi-on-planes-air-new-zealand.html
"This is the No. 1 way to raise kids with a 'really healthy resilience,' pediatrician says",No date found,https://www.cnbc.com/2024/10/11/lighthouse-parenting-helps-raise-kids-with-a-healthy-resilience.html
You could miss out on years of 'free money' if you wait to save for retirement,No date found,https://www.cnbc.com/2024/10/11/you-could-miss-out-free-money-if-you-wait-to-save-for-retirement.html
Ex-Google exec: This simple habit separates highly successful people from others,No date found,https://www.cnbc.com/2024/10/11/former-google-exec-on-no-1-habit-shared-by-highly-successful-people.html
"3 money moves you can make today to feel wealthy, according to CFPs",No date found,https://www.cnbc.com/2024/10/11/money-moves-you-can-make-today-to-feel-wealthy-according-to-cfps.html
New research: More money tends to make you happier—even if you're already rich,No date found,https://www.cnbc.com/2024/10/11/more-money-makes-you-happier-even-if-youre-already-rich.html
What are the economics of war?,No date found,https://www.cnbc.com/video/2024/08/07/what-are-the-economics-of-war.html
What is the internet of bodies?,No date found,https://www.cnbc.com/video/2024/05/31/what-is-the-internet-of-bodies.html
How the world got into $315 trillion of debt,No date found,https://www.cnbc.com/video/2024/05/28/how-the-world-got-into-315-trillion-of-debt.html
eVTOLS: Are flying cars finally becoming reality?,No date found,https://www.cnbc.com/video/2024/03/28/evtols-how-flying-cars-are-becoming-reality.html
How China's property bubble burst,No date found,https://www.cnbc.com/video/2024/02/29/how-chinas-property-bubble-burst.html
