Name,Rating,Year
1. Ship of Theseus,8.0,2012
2. Iruvar,8.4,1997
3. Kaagaz Ke Phool,7.8,1959
4. Lagaan: Once Upon a Time in India,8.1,2001
5. Pather Panchali,8.2,1955
6. Charulata,8.1,1964
7. Rang De Basanti,8.1,2006
8. Dev.D,7.9,2009
9. 3 Idiots,8.4,2009
10. Awaara,7.8,1951
11. Nayakan,8.7,1987
12. Aparajito,8.2,1956
13. Pushpaka Vimana,8.6,1987
14. Pyaasa,8.3,1957
15. Ghatashraddha,7.5,1977
16. Sholay,8.1,1975
17. Aradhana,7.6,1969
18. Do Ankhen Barah Haath,8.4,1957
19. Bombay,8.1,1995
20. Neecha Nagar,6.6,1946
21. Do Bigha Zamin,8.3,1953
22. Garm Hava,8.0,1974
23. Piravi,7.8,1989
24. Mughal-E-Azam,8.1,1960
25. Amma Ariyan,7.4,1986
