Job Title,Location,Company,Experience
Data Scientist - Product Supply,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",PG,2-5 Yrs
Data Scientist,Noida,Biz Tech Consultants,3-8 Yrs
Data Scientist/Data Analyst - LLM,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Hexaconcepts,2-6 Yrs
Data Analyst,New Delhi,Sociomix,0-5 Yrs
Data Analyst,Gurugram,Growthjockey,0-1 Yrs
,"Gurugram, Bengaluru",PayU,2-7 Yrs
,Noida,Innovaccer,2-7 Yrs
,Noida,Times Internet,3-8 Yrs
Data Scientist,Gurugram,Varuna Integrated Logistics,3-8 Yrs
Data scientist,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Intense Technologies,3-7 Yrs
